date,open,high,low,close
2021-01-01,90.33,90.45,97.10,90.11
2021-01-04,97.07,102.99,104.30,100.20
2021-01-05,102.21,100.00,100.60,98.26
2021-01-06,98.60,101.00,102.00,99.50
2021-01-07,99.85,101.00,101.29,97.00
2021-01-08,97.94,98.85,99.00,97.75
2021-01-11,98.38,100.00,100.25,97.02
2021-01-12,97.39,97.40,99.26,97.10
2021-01-13,99.04,100.01,100.49,98.25
2021-01-14,98.76,98.90,98.90,97.39
2021-01-15,97.70,98.09,98.30,97.43
2021-01-18,97.66,97.00,97.10,94.50
2021-01-19,94.92,94.70,97.50,93.77
2021-01-20,94.92,95.49,95.50,92.80
2021-01-21,93.40,93.50,94.70,93.50
2021-01-22,94.23,94.00,94.39,92.91
2021-01-25,93.41,93.55,94.49,92.96
2021-01-26,93.05,93.12,94.08,92.92
2021-01-27,93.99,94.29,94.30,93.10
2021-01-28,93.27,93.10,93.70,92.01
2021-01-29,92.30,92.35,93.25,91.45
2021-02-01,91.67,92.00,92.49,91.60
2021-02-02,91.85,93.20,94.79,91.98
2021-02-03,93.39,94.50,94.65,92.95
2021-02-04,93.06,95.11,96.25,93.83
2021-02-08,94.10,94.90,95.39,93.90
2021-02-09,94.08,95.20,95.20,94.01
2021-02-10,94.33,94.30,94.50,92.70
2021-02-11,93.11,93.50,93.50,91.11
2021-02-12,91.54,91.21,91.50,90.00
2021-02-15,90.17,91.50,92.50,91.50
2021-02-16,92.13,92.53,94.25,92.52
2021-02-17,93.05,93.35,94.25,92.20
2021-02-18,92.40,93.38,93.38,91.00
2021-02-19,91.48,91.02,92.49,91.02
2021-02-22,91.84,91.68,92.40,90.00
2021-02-23,90.26,92.00,93.45,91.52
2021-02-24,91.76,91.55,91.76,90.25
2021-02-25,90.61,91.38,91.87,90.99
2021-02-26,91.12,91.00,91.15,90.00
2021-03-01,90.42,91.00,91.00,89.30
2021-03-02,90.72,90.10,92.94,90.00
2021-03-03,91.13,91.13,91.49,90.10
2021-03-04,90.69,89.00,90.49,88.55
2021-03-05,89.63,90.28,91.35,89.75
2021-03-08,90.89,92.80,93.10,89.89
2021-03-09,90.11,90.35,90.35,87.22
2021-03-10,87.70,88.00,88.20,86.21
2021-03-11,86.67,86.06,87.00,85.00
2021-03-12,85.39,85.75,87.40,85.50
2021-03-15,86.47,88.00,88.88,87.60
2021-03-16,88.01,88.03,88.15,87.10
2021-03-17,87.29,88.00,89.40,87.51
2021-03-18,88.81,88.89,88.90,86.40
2021-03-19,86.64,85.21,87.00,85.00
2021-03-24,92.54,91.48,92.25,90.25
2021-03-25,91.69,92.10,93.52,90.81
2021-03-26,90.94,91.00,91.20,90.01
2021-03-29,90.22,90.25,90.26,87.50
2021-03-30,87.78,87.60,88.40,87.01
2021-03-31,87.45,87.65,88.40,87.00
2021-04-01,87.33,87.30,87.69,86.50
2021-04-02,86.96,87.67,87.69,86.00
2021-04-05,86.23,86.95,86.95,85.00
2021-04-06,85.07,85.74,86.45,85.00
2021-04-07,86.10,86.49,86.49,84.49
2021-04-08,84.71,85.24,85.58,84.80
2021-04-09,83.97,85.87,85.90,83.97
2021-04-12,85.39,85.84,87.25,84.70
2021-04-13,85.42,85.65,85.75,85.01
2021-04-14,85.30,85.13,86.20,85.13
2021-04-15,86.03,86.94,87.15,86.00
2021-04-16,86.28,86.22,86.56,85.81
2021-04-19,85.97,85.30,85.30,84.61
2021-04-20,84.97,85.20,85.74,85.00
2021-04-21,85.16,85.39,85.39,84.51
2021-04-22,84.69,84.69,84.69,82.90
2021-04-23,83.02,83.00,83.00,81.90
2021-04-26,82.38,82.00,88.55,82.00
2021-04-27,88.55,88.49,90.00,84.01
2021-04-28,84.75,85.00,85.45,83.00
2021-04-29,83.19,83.25,83.90,82.10
2021-04-30,82.56,82.51,82.98,80.81
2021-05-03,81.17,81.01,82.35,80.51
2021-05-04,81.98,82.48,82.48,81.50
2021-05-05,81.90,84.00,84.20,82.85
2021-05-06,83.25,84.00,84.00,82.45
2021-05-17,82.60,83.01,83.04,81.00
2021-05-18,81.35,81.75,83.60,81.50
2021-05-19,82.72,83.00,84.50,82.50
2021-05-20,82.62,82.60,82.74,82.00
2021-05-21,82.18,83.00,84.48,82.50
2021-05-24,84.18,85.50,86.79,85.25
2021-05-25,85.54,85.61,86.80,85.00
2021-05-26,86.15,85.51,88.61,85.51
2021-05-27,88.10,88.60,89.00,87.25
2021-05-28,87.74,87.74,93.74,87.30
2021-05-31,90.67,91.99,93.00,90.85
2021-06-01,92.38,93.00,95.45,92.90
2021-06-02,94.87,94.90,95.10,93.00
2021-06-03,93.75,94.00,94.70,93.50
2021-06-04,93.68,94.25,94.38,93.02
2021-06-07,93.82,95.31,95.40,92.75
2021-06-08,93.21,93.00,93.25,92.02
2021-06-09,92.99,93.89,93.95,91.30
2021-06-10,91.50,91.48,92.00,90.50
2021-06-11,90.68,90.70,91.49,89.90
2021-06-14,90.07,91.69,95.00,90.80
2021-06-15,94.38,94.40,94.78,92.20
2021-06-16,92.37,93.01,93.45,91.09
2021-06-17,91.25,91.40,91.80,90.12
2021-06-18,90.34,91.82,91.95,90.00
2021-06-21,90.32,91.10,91.10,90.00
2021-06-22,90.05,90.45,90.85,89.92
2021-06-23,90.00,90.60,91.00,89.90
2021-06-24,90.19,90.49,90.50,90.00
2021-06-25,90.26,90.06,90.40,88.70
2021-06-28,89.01,89.00,89.20,87.70
2021-06-29,87.92,88.10,88.51,84.96
2021-06-30,85.37,85.40,87.45,85.40
2021-07-01,86.83,90.00,90.00,88.01
2021-07-02,88.72,88.64,89.00,87.75
2021-07-05,87.84,87.80,88.10,86.70
2021-07-06,86.87,87.00,87.60,86.00
2021-07-07,86.34,85.55,86.15,85.15
2021-07-08,85.55,86.00,88.00,85.65
2021-07-09,86.93,87.00,87.00,85.66
2021-07-12,86.05,86.05,86.71,85.70
2021-07-13,86.02,85.73,86.39,85.20
2021-07-14,85.40,86.09,86.09,85.05
2021-07-15,85.20,85.10,86.50,85.00
2021-07-16,85.64,85.98,85.99,85.50
2021-07-19,85.67,86.37,86.55,85.30
2021-07-26,85.51,85.97,85.97,83.00
2021-07-27,83.23,83.90,84.20,83.55
2021-07-28,83.65,84.00,84.00,83.00
2021-07-29,83.16,83.02,83.75,82.60
2021-07-30,82.97,83.64,84.50,81.74
2021-08-02,81.86,82.10,82.97,82.00
2021-08-03,82.88,82.60,82.82,82.20
2021-08-04,82.64,82.89,82.90,82.00
2021-08-05,82.04,82.20,82.50,81.80
2021-08-06,82.00,82.45,82.45,81.85
2021-08-09,81.98,82.00,82.35,81.00
2021-08-10,81.33,81.33,81.49,80.81
2021-08-11,81.01,81.25,81.75,80.85
2021-08-12,80.97,81.50,81.50,80.00
2021-08-13,80.06,80.40,80.45,79.79
2021-08-16,79.92,79.92,80.00,78.00
2021-08-17,78.98,78.51,79.40,78.28
2021-08-20,78.97,78.60,79.39,78.30
2021-08-23,78.78,79.15,84.30,79.15
2021-08-24,82.41,82.50,82.82,80.00
2021-08-25,80.53,80.67,81.25,79.80
2021-08-26,79.96,79.98,80.49,79.51
2021-08-27,79.91,80.00,80.00,78.84
2021-08-30,79.46,80.00,82.77,79.46
2021-08-31,80.89,81.47,83.39,80.70
2021-09-01,81.76,83.02,83.02,81.80
2021-09-02,81.96,81.60,81.90,80.55
2021-09-03,80.84,81.01,81.70,80.04
2021-09-06,80.25,80.11,81.25,80.10
2021-09-07,80.37,80.12,80.80,79.80
2021-09-08,79.91,80.00,80.79,79.00
2021-09-09,79.05,79.01,79.89,78.85
2021-09-10,78.93,79.50,79.60,77.89
2021-09-13,78.16,78.25,78.60,78.00
2021-09-14,78.25,78.30,78.55,77.25
2021-09-15,77.64,78.00,78.01,76.70
2021-09-16,76.84,77.69,79.10,76.75
2021-09-17,78.30,78.74,79.79,77.10
2021-09-20,77.53,77.53,77.85,76.60
2021-09-21,76.73,77.00,77.50,75.53
2021-09-22,76.21,76.21,76.35,74.52
2021-09-23,75.45,75.30,76.00,73.00
2021-09-24,73.75,74.00,74.90,72.90
2021-09-27,74.08,74.30,74.85,73.00
2021-09-28,73.92,74.01,74.77,72.53
2021-09-29,73.43,73.20,74.00,72.00
2021-09-30,72.50,72.50,76.40,71.05
2021-10-01,74.91,73.01,74.85,73.00
2021-10-04,74.37,74.01,74.01,72.50
2021-10-05,72.90,73.06,74.20,72.00
2021-10-06,72.48,72.25,74.48,71.40
2021-10-07,71.79,72.00,72.95,71.60
2021-10-11,71.90,72.21,73.90,72.20
2021-10-12,73.21,73.45,74.50,72.71
2021-10-13,74.00,74.44,75.20,72.51
2021-10-14,72.85,73.50,74.75,72.05
2021-10-15,72.32,73.00,75.99,72.32
2021-10-18,75.39,75.98,79.90,75.05
2021-10-20,77.18,77.01,78.10,77.01
2021-10-21,77.52,78.80,79.80,77.60
2021-10-22,78.86,79.15,79.20,76.00
2021-10-25,76.63,77.00,77.50,76.50
2021-10-26,77.25,77.88,77.99,75.80
2021-10-27,75.99,76.10,78.04,76.00
2021-10-28,76.91,77.00,77.40,76.05
2021-10-29,76.36,77.00,77.00,75.00
2021-11-01,75.86,76.01,79.10,76.01
2021-11-02,78.43,78.99,79.49,77.61
